city,company_name,country,governate,location,mode,name,type,url
Maadi,Xyris Digital Solutions,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,odoo developer,full time,https://wuzzuf.net/jobs/p/jtqZd7N7VwaV-Odoo-Developer-Xyris-Digital-Solutions-Cairo-Egypt
Abdeen,Tatas,Egypt,Cairo,"Abdeen, Cairo, Egypt",on-site,maintenance engineer,full time,https://wuzzuf.net/jobs/p/17oavUbWQS2D-Maintenance-Engineer-Tatas-Cairo-Egypt
New Cairo,ITGoals,Egypt,Cairo,"New Cairo, Cairo, Egypt",hybrid,technical software integration and support engineer,full time,https://wuzzuf.net/jobs/p/3DN22GHZPh4I-Technical-Software-integration-and-support-engineer-ITGoals-Cairo-Egypt
Maadi,SNAP14 Productions,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,digital marketing analyst and optimizer,full time,https://wuzzuf.net/jobs/p/chvX2WM38TOt-Digital-Marketing-Analyst-and-Optimizer-SNAP14-Productions-Cairo-Egypt
Nasr City,Confidential,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,"senior full stack developer (.net core , angular 8+) onsite",full time,https://wuzzuf.net/jobs/p/TVSCXfE1Bpmj-Senior-Full-Stack-Developer-NET-core-Angular-8-Onsite-Cairo-Egypt
,Makouk,Egypt,Cairo,"Cairo, Egypt",remote,level designer,full time,https://wuzzuf.net/jobs/p/KabX2oBGWCAw-Level-Designer-Makouk-Cairo-Egypt
Maadi,SNAP14 Productions,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,zoho implementation specialist & it generalist,full time,https://wuzzuf.net/jobs/p/4zAzYRgYCq4I-Zoho-Implementation-Specialist-IT-Generalist-SNAP14-Productions-Cairo-Egypt
Alsadat City,Confidential,Egypt,Monufya,"Alsadat City, Monufya, Egypt",on-site,quality control engineer,full time,https://wuzzuf.net/jobs/p/gbHbP9iak7Zr-Quality-Control-Engineer-Monufya-Egypt
Dokki,Talaat Moustafa Group,Egypt,Giza,"Dokki, Giza, Egypt",on-site,technical support specialist,full time,https://wuzzuf.net/jobs/p/KIEiWpUNZAbI-Technical-Support-Specialist-Talaat-Moustafa-Group-Giza-Egypt
Nasr City,Etisalat Egypt,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,sales indoor (good english) etisalat egypt,full time,https://wuzzuf.net/jobs/p/iEyUVV6k9HGT-Sales-indoor-Good-English-Etisalat-Egypt-Etisalat-Egypt-Cairo-Egypt
,Skywalk Developments,Egypt,Giza,"Giza, Egypt",on-site,it manager,full time,https://wuzzuf.net/jobs/p/v8XkDuhc4TZR-IT-Manager-Skywalk-Developments-Giza-Egypt
Maadi,Paymob Solutions,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,customer support associate,full time,https://wuzzuf.net/jobs/p/chD1hn2rZ3VK-Customer-Support-Associate-Paymob-Solutions-Cairo-Egypt
Sheikh Zayed,Lumin,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",hybrid,ai technical team lead (computer vision focus & nlp),full time,https://wuzzuf.net/jobs/p/1kRUuVPxsf8W-AI-Technical-Team-Lead-Computer-Vision-Focus-NLP-Lumin-Giza-Egypt
,Makouk,Egypt,Cairo,"Cairo, Egypt",remote,backend developer (nodejs),full time,https://wuzzuf.net/jobs/p/hOnEP5wjRKOK-Backend-Developer-NodeJS-Makouk-Cairo-Egypt
Sheikh Zayed,Seoudi Supermarket,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,senior full stack developer (laravel - vue.js),full time,https://wuzzuf.net/jobs/p/2FJ93yetjDgQ-Senior-Full-Stack-Developer-Laravel---Vuejs-Seoudi-Supermarket-Giza-Egypt
Alsadat City,Confidential,Egypt,Monufya,"Alsadat City, Monufya, Egypt",on-site,quality control technician,full time,https://wuzzuf.net/jobs/p/UICNl5cjaib0-Quality-Control-Technician-Monufya-Egypt
